ChEMBL ID;Receptor;Species;Purchasable;No. records;Assay type;Min.;Average;Max.;Unit;Mol. weight;Rot. Bonds;H don;H acc;LogP;Smiles
CHEMBL2207097;ccr2_human;Human;No;1;Funct;7.50;7.50;7.50;p(-log);401;5;1;6;3.2;C1=CC(=C(C=C1F)NS(=O)(=O)C2=CC(=C(C=C2)Cl)Cl)CN3C=CN=N3
CHEMBL2207097;ccr1_human;Human;No;1;Funct;6.00;6.00;6.00;p(-log);401;5;1;6;3.2;C1=CC(=C(C=C1F)NS(=O)(=O)C2=CC(=C(C=C2)Cl)Cl)CN3C=CN=N3
CHEMBL2204256;ccr2_human;Human;No;1;Funct;5.57;5.57;5.57;p(-log);480;6;3;8;1.6;CN1C=CC(=N1)C2(CCC(CC2)N3CC(C3)NC(=O)CNC(=O)C4=CC(=CC=C4)C(F)(F)F)O
CHEMBL220713;ccr3_human;Human;No;1;Funct;8.64;8.64;8.64;p(-log);500;11;2;6;4.3;CC(=O)C1=CC(=CC(=C1)NC(=O)NCCCC2CC(CCN2CCF)CC3=CC=C(C=C3)F)C(=O)C
CHEMBL221650;ccr8_human;Human;No;1;Funct;7.43;7.43;7.43;p(-log);540;8;2;6;4.2;CCCC(=O)N1CCC(CC1)NS(=O)(=O)C2=CC=C(C3=CC=CC=C32)NC(=O)C4=CC(=NN4C)C(C)(C)C
CHEMBL220765;ccr3_human;Human;No;1;Funct;8.72;8.72;8.72;p(-log);492;10;2;5;4.0;CC(=O)C1=CC(=CC(=C1)NC(=O)NCCCC2CC(CCN2CC#C)CC3=CC=C(C=C3)F)C(=O)C
CHEMBL2207658;ccr3_human;Human;No;1;Funct;8.20;8.20;8.20;p(-log);481;7;3;8;3.3;C1CN(CCC1OC2=CC(=C(C=C2)Cl)Cl)CC(CNC(=O)C3=C(NN=C3)C(F)(F)F)O
CHEMBL220819;ccr3_human;Human;No;1;Funct;8.60;8.60;8.60;p(-log);466;10;2;4;5.0;CC(=O)C1=CC(=CC=C1)NC(=O)NCCCC2CC(CCN2CC3CC3)CC4=CC=C(C=C4)F
CHEMBL2180535;ccr1_human;Human;No;1;Funct;6.28;6.28;6.28;p(-log);400;5;1;3;4.3;CC(C)C(C(=O)N1CCN(CC1)C2=CC=C(C=C2)Cl)NC(=O)C3=CC=CC=C3
CHEMBL2208424;ccr3_human;Human;No;1;Funct;7.50;7.50;7.50;p(-log);435;8;1;5;4.9;C1CN(CCC1OC2=CC(=C(C=C2)Cl)Cl)CCC(COC3=CC=CC(=C3)C#N)O
CHEMBL2180515;ccr1_human;Human;No;1;Funct;7.46;7.46;7.46;p(-log);427;7;1;2;5.2;CC(C)C(C(=O)N1CCC(CC1)C2=CC=C(C=C2)Cl)NC(=O)CCC3=CC=CC=C3
CHEMBL218581;ccr3_human;Human;No;1;Funct;8.22;8.22;8.22;p(-log);394;8;3;3;3.7;CC(=O)C1=CC(=CC=C1)NC(=O)NCCCC2CC(CCN2)CC3=CC=CC=C3
CHEMBL219135;cxcr4_human;Human;Yes;1;Funct;6.46;6.46;6.46;p(-log);744;12;10;8;-0.1;C1CNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC1=O)CC2=CC3=CC=CC=C3C=C2)CCCN=C(N)N)CCCN=C(N)N)CC4=CC=C(C=C4)O
CHEMBL2205720;cxcr3_human;Human;No;1;Funct;5.10;5.10;5.10;p(-log);397;4;0;1;5.8;CC1(C2CCC1(C(C2)CN(C)CC3=CC=C(C=C3)I)C)C
CHEMBL2207100;ccr4_human;Human;No;1;Funct;6.30;6.30;6.30;p(-log);424;5;1;6;4.0;C1=CN(N=N1)CC2=CC(=C(C=C2NS(=O)(=O)C3=CC=C(S3)Cl)Cl)Cl
CHEMBL2207100;ccr2_human;Human;No;1;Funct;7.90;7.90;7.90;p(-log);424;5;1;6;4.0;C1=CN(N=N1)CC2=CC(=C(C=C2NS(=O)(=O)C3=CC=C(S3)Cl)Cl)Cl
CHEMBL2207100;ccr1_human;Human;No;1;Funct;6.50;6.50;6.50;p(-log);424;5;1;6;4.0;C1=CN(N=N1)CC2=CC(=C(C=C2NS(=O)(=O)C3=CC=C(S3)Cl)Cl)Cl
CHEMBL2204267;ccr2_human;Human;No;2;Funct;7.17;7.28;7.39;p(-log);529;7;3;10;3.2;CSC1=NC=C(S1)C2(CCC(CC2)N3CC(C3)NC(=O)CNC(=O)C4=CC(=CC=C4)C(F)(F)F)O
CHEMBL2205689;cxcr3_human;Human;No;1;Funct;5.70;5.70;5.70;p(-log);377;5;0;3;5.3;CC1(C2CC=C(C1C2)CN(C)CC3=CC=C(C=C3)C4=CC(=CC=C4)[N+](=O)[O-])C
CHEMBL220650;ccr8_human;Human;No;1;Funct;6.84;6.84;6.84;p(-log);486;8;2;5;4.3;CCCC(=O)N1CCC(CC1)NS(=O)(=O)C2=CC=C(C3=CC=CC=C32)NC(=O)CC4CCCC4
